"구분(1)",구분(2),구분(3),구분(4),2019,2020,2021
"CO₂",총배출량,소계,소계,641.776,597.965,617.833
"CO₂",1. 에너지,소계,소계,600.325,559.183,578.133
"CO₂",1. 에너지,A. 연료연소,소계,600.325,559.183,578.133
"CO₂",1. 에너지,A. 연료연소,1.에너지산업,264.435,235.488,239.564
"CO₂",1. 에너지,A. 연료연소,2. 제조업 및 건설업,185.868,180.026,192.429
"CO₂",1. 에너지,A. 연료연소,3. 수송,98.262,93.521,96.250
"CO₂",1. 에너지,A. 연료연소,4. 기타,48.835,47.257,46.986
"CO₂",1. 에너지,A. 연료연소,5. 미분류,2.925,2.891,2.903
"CO₂",2. 산업공정,소계,소계,35.279,32.453,33.630
"CO₂",2. 산업공정,A. 광물 산업,소계,35.113,32.341,33.477
"CO₂",2. 산업공정,B. 화학 산업,소계,0.001,0.001,0.001
"CO₂",2. 산업공정,C. 금속 산업,소계,0.165,0.111,0.152
"CO₂",6. 폐기물,소계,소계,6.172,6.329,6.071
"CO₂",6. 폐기물,C. 폐기물 소각,소계,6.172,6.329,6.071
"CH₄",총배출량,소계,소계,27.246,27.046,27.272
"CH₄",1. 에너지,소계,소계,6.034,5.941,6.479
"CH₄",1. 에너지,A. 연료연소,소계,1.837,1.735,1.932
"CH₄",1. 에너지,B. 탈루,소계,4.198,4.206,4.547
"CH₄",2. 산업공정,소계,소계,0.568,0.549,0.623
"CH₄",3. 농업,소계,소계,11.917,11.799,11.733
"CH₄",3. 농업,A. 장내발효,소계,4.589,4.743,4.908
"CH₄",3. 농업,B. 가축 분뇨처리,소계,1.403,1.399,1.385
"CH₄",3. 농업,C. 벼재배,소계,5.913,5.648,5.432
"CH₄",3. 농업,F. 작물잔사소각,소계,0.012,0.010,0.008
"CH₄",6. 폐기물,소계,소계,8.727,8.757,8.436
"CH₄",6. 폐기물,A. 폐기물매립,소계,7.728,7.732,7.529
"CH₄",6. 폐기물,B. 하폐수처리,소계,0.494,0.536,0.402
"CH₄",6. 폐기물,D. 기타,소계,0.504,0.489,0.504
"N₂O",총배출량,소계,소계,14.238,14.265,14.788
"N₂O",1. 에너지,소계,소계,3.208,2.936,3.119
"N₂O",2. 산업공정,소계,소계,0.368,0.357,0.390
"N₂O",3. 농업,소계,소계,9.048,9.374,9.682
"N₂O",3. 농업,B. 가축 분뇨처리,소계,3.494,3.767,3.996
"N₂O",3. 농업,D. 농경지토양,소계,5.549,5.603,5.682
"N₂O",3. 농업,F. 작물잔사소각,소계,0.004,0.003,0.003
"N₂O",6. 폐기물,소계,소계,1.615,1.598,1.598
"N₂O",6. 폐기물,B. 하폐수처리,소계,1.047,1.035,1.036
"N₂O",6. 폐기물,C. 폐기물 소각,소계,0.235,0.264,0.256
"N₂O",6. 폐기물,D. 기타,소계,0.333,0.298,0.307
"HFCs",총배출량,소계,소계,6.855,6.662,7.930
"HFCs",2. 산업공정,소계,소계,6.855,6.662,7.930
"HFCs",2. 산업공정,E. 할로카본 및 육불화황 생산,소계,NO,NO,NO
"HFCs",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,6.855,6.662,7.930
"PFCs",총배출량,소계,소계,3.003,3.401,3.640
"PFCs",2. 산업공정,소계,소계,3.003,3.401,3.640
"PFCs",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,3.003,3.401,3.640
"SF6",총배출량,소계,소계,6.096,5.106,5.185
"SF6",2. 산업공정,소계,소계,6.096,5.106,5.185
"SF6",2. 산업공정,C. 금속 산업,소계,0.024,0.025,0.029
"SF6",2. 산업공정,F. 할로카본 및 육불화황 소비,소계,6.072,5.080,5.156
